start,end,inj_name
1737204224682,1737204227685,[HTTP]HTTPReadInjection(d3000-r1)
1737204230693,1737204233699,[HTTP]HTTPReadInjection(d3000-r1)
1737204212577,1737204215593,[Disk_default]DiskStressInjection(d3000-nw10)
1737204221602,1737204224659,[Disk_default]DiskStressInjection(d3000-nw10)
1737204235713,1737204238753,[Disk_default]DiskStressInjection(d3000-nw10)
1737204232696,1737204235739,[CPU_default]CPUStressInjection(d3000)
1737204243719,1737204246731,[CPU_default]CPUStressInjection(d3000)
1737204219586,1737204222592,[Memory_default]MemoryStressInjection(d3000-i1234567)
