start,end,inj_name
1737385504700,1737385507703,[HTTP]HTTPReadInjection(d3000-r1)
1737385509709,1737385512738,[CPU_default]CPUStressInjection(d3000)
1737385489457,1737385492527,[Memory_default]MemoryStressInjection(d3000-i1234567)
1737385497493,1737385500497,[Memory_default]MemoryStressInjection(d3000-i1234567)
1737385486437,1737385489479,[Deadlock_50_locks]DeadlockInjection(d3000-t3-l50)
1737385495479,1737385498516,[Deadlock_50_locks]DeadlockInjection(d3000-t3-l50)
1737385511712,1737385514735,[Deadlock_50_locks]DeadlockInjection(d3000-t3-l50)
