start,end,inj_name
1737370884676,1737370887679,[HTTP]HTTPReadInjection(d3000-r1)
1737370890683,1737370893688,[HTTP]HTTPReadInjection(d3000-r1)
1737370902735,1737370905738,[HTTP]HTTPReadInjection(d3000-r1)
1737370913776,1737370916780,[HTTP]HTTPReadInjection(d3000-r1)
1737370892684,1737370895709,[CPU_default]CPUStressInjection(d3000)
1737370898733,1737370901743,[CPU_default]CPUStressInjection(d3000)
1737370908743,1737370911755,[CPU_default]CPUStressInjection(d3000)
1737370896706,1737370899729,[Deadlock_50_locks]DeadlockInjection(d3000-t3-l50)
1737370911750,1737370914775,[Deadlock_50_locks]DeadlockInjection(d3000-t3-l50)
1737370915775,1737370918797,[Deadlock_50_locks]DeadlockInjection(d3000-t3-l50)
