start,end,inj_name
1737204060078,1737204063083,[HTTP]HTTPReadInjection(d3000-r1)
1737204064086,1737204067089,[HTTP]HTTPReadInjection(d3000-r1)
1737204051064,1737204054107,[Disk_default]DiskStressInjection(d3000-nw10)
1737204062082,1737204065100,[CPU_default]CPUStressInjection(d3000)
1737204073107,1737204076130,[CPU_default]CPUStressInjection(d3000)
1737204077137,1737204080166,[CPU_default]CPUStressInjection(d3000)
1737204048046,1737204051074,[Memory_default]MemoryStressInjection(d3000-i1234567)
1737204075114,1737204078125,[Memory_default]MemoryStressInjection(d3000-i1234567)
