time,datetime,idle_time,usr_time,interrupt_time,mem_total,mem_available,mem_percent,n_packets,tcp_packets,packet_size,label
1737202898330,2025-01-18 13:21:38,11451.45,2264.44,19.25,7763402752,2714800128,65.0,1071,37,1220128,Anomaly
1737202910097,2025-01-18 13:21:50,11452.09,2283.32,19.52,7763402752,2646249472,65.9,764,728,896326,Anomaly
1737202921921,2025-01-18 13:22:01,11452.81,2302.34,19.72,7763402752,2661859328,65.7,1074,128,1144936,Anomaly
1737202933642,2025-01-18 13:22:13,11453.16,2321.31,19.83,7763402752,2689036288,65.4,1052,59,1218760,Normal
1737202945421,2025-01-18 13:22:25,11453.19,2341.34,19.97,7763402752,2635644928,66.1,1068,107,1110012,Normal
1737202957182,2025-01-18 13:22:37,11454.08,2360.43,20.07,7763402752,2619248640,66.3,23,22,1701,Normal
1737202968637,2025-01-18 13:22:48,11469.57,2365.7,20.09,7763402752,2681561088,65.5,7,5,484,Normal
1737202980059,2025-01-18 13:23:00,11488.62,2367.57,20.12,7763402752,2701406208,65.2,2,2,132,Normal
1737202991488,2025-01-18 13:23:11,11507.46,2369.62,20.15,7763402752,2699186176,65.2,8,6,576,Normal
1737203002919,2025-01-18 13:23:22,11526.58,2371.52,20.16,7763402752,2701271040,65.2,4,4,342,Normal
1737203014351,2025-01-18 13:23:34,11545.73,2373.4,20.19,7763402752,2701185024,65.2,36,24,8372,Normal
1737203025773,2025-01-18 13:23:45,11563.51,2376.37,20.21,7763402752,2707701760,65.1,4,2,668,Normal
1737203037204,2025-01-18 13:23:57,11582.44,2378.39,20.23,7763402752,2709823488,65.1,8,2,912,Normal
1737203048619,2025-01-18 13:24:08,11601.44,2380.35,20.26,7763402752,2694115328,65.3,5,5,330,Normal
1737203060052,2025-01-18 13:24:20,11620.18,2382.46,20.28,7763402752,2704613376,65.2,5,3,378,Normal
1737203071483,2025-01-18 13:24:31,11639.36,2384.33,20.3,7763402752,2720899072,65.0,2,0,120,Normal
1737203082913,2025-01-18 13:24:42,11658.46,2386.17,20.32,7763402752,2719105024,65.0,2,0,102,Normal
1737203094342,2025-01-18 13:24:54,11675.42,2389.86,20.34,7763402752,2727682048,64.9,2,0,120,Normal
1737203105808,2025-01-18 13:25:05,11687.87,2398.22,20.36,7763402752,2709069824,65.1,9,7,663,Normal
1737203117251,2025-01-18 13:25:17,11705.16,2401.42,20.39,7763402752,2716790784,65.0,19,14,1851,Normal
1737203128678,2025-01-18 13:25:28,11711.35,2415.61,20.41,7763402752,2658623488,65.8,251,212,193700,Normal
1737203140222,2025-01-18 13:25:40,11719.99,2426.85,20.47,7763402752,2687324160,65.4,2,0,150,Normal
1737203151689,2025-01-18 13:25:51,11725.71,2441.47,20.49,7763402752,2708660224,65.1,0,0,0,Normal
1737203163182,2025-01-18 13:26:03,11743.96,2444.29,20.51,7763402752,2709999616,65.1,0,0,0,Normal
1737203174611,2025-01-18 13:26:14,11762.92,2446.24,20.53,7763402752,2707955712,65.1,0,0,0,Normal
1737203186075,2025-01-18 13:26:26,11782.02,2448.13,20.55,7763402752,2715201536,65.0,6,6,459,Normal
1737203197511,2025-01-18 13:26:37,11801.08,2450.02,20.57,7763402752,2710061056,65.1,2,0,102,Normal
1737203208951,2025-01-18 13:26:48,11820.06,2452.0,20.59,7763402752,2719416320,65.0,2,0,102,Normal
1737203220390,2025-01-18 13:27:00,11837.2,2455.5,20.61,7763402752,2704220160,65.2,0,0,0,Normal
1737203231987,2025-01-18 13:27:11,11854.85,2458.9,20.63,7763402752,2708717568,65.1,3,0,370,Normal
1737203243439,2025-01-18 13:27:23,11869.56,2464.36,20.65,7763402752,2712596480,65.1,782,756,1004968,Normal
1737203255204,2025-01-18 13:27:35,11873.3,2480.09,20.75,7763402752,2650501120,65.9,1052,153,1148464,Anomaly
1737203266890,2025-01-18 13:27:46,11873.3,2499.14,20.93,7763402752,2491924480,67.9,734,625,874179,Anomaly
1737203278677,2025-01-18 13:27:58,11873.53,2518.61,21.1,7763402752,2599030784,66.5,908,22,1082421,Normal
1737203290477,2025-01-18 13:28:10,11876.26,2536.22,21.23,7763402752,2646368256,65.9,1027,8,1191417,Normal
1737203302057,2025-01-18 13:28:22,11880.09,2552.01,21.34,7763402752,2648051712,65.9,486,10,533972,Normal
1737203313613,2025-01-18 13:28:33,11886.82,2564.85,21.47,7763402752,2670546944,65.6,790,0,878467,Normal
1737203325202,2025-01-18 13:28:45,11892.91,2578.18,21.58,7763402752,2662105088,65.7,552,0,597740,Normal
1737203337013,2025-01-18 13:28:57,11899.53,2591.3,21.72,7763402752,2645729280,65.9,622,10,725853,Normal
1737203348578,2025-01-18 13:29:08,11905.91,2604.77,21.8,7763402752,2631331840,66.1,12,12,3549,Normal
1737203360086,2025-01-18 13:29:20,11923.77,2607.72,21.82,7763402752,2651439104,65.8,307,61,268273,Normal
1737203371548,2025-01-18 13:29:31,11929.83,2620.93,22.02,7763402752,2582482944,66.7,1019,69,1134562,Normal
1737203383360,2025-01-18 13:29:43,11931.13,2639.43,22.19,7763402752,2599256064,66.5,847,2,955411,Normal
1737203394969,2025-01-18 13:29:54,11935.56,2654.46,22.33,7763402752,2593255424,66.6,1040,2,1210028,Normal
1737203406758,2025-01-18 13:30:06,11938.2,2671.72,22.45,7763402752,2611924992,66.4,544,14,566287,Normal
1737203418406,2025-01-18 13:30:18,11943.68,2685.57,22.61,7763402752,2584834048,66.7,747,13,800485,Normal
1737203429915,2025-01-18 13:30:29,11949.91,2698.74,22.74,7763402752,2585837568,66.7,745,7,773015,Normal
1737203441503,2025-01-18 13:30:41,11956.13,2712.15,22.83,7763402752,2584375296,66.7,979,10,1081454,Normal
1737203453235,2025-01-18 13:30:53,11962.47,2725.69,22.96,7763402752,2579861504,66.8,551,17,574877,Normal
1737203464831,2025-01-18 13:31:04,11969.79,2737.72,23.07,7763402752,2599018496,66.5,682,12,735501,Normal
1737203476401,2025-01-18 13:31:16,11976.25,2750.69,23.17,7763402752,2594484224,66.6,1046,22,1166417,Normal
1737203487962,2025-01-18 13:31:27,11981.26,2765.22,23.3,7763402752,2603986944,66.5,422,0,441545,Normal
1737203499514,2025-01-18 13:31:39,11990.46,2775.36,23.35,7763402752,2597048320,66.5,565,15,605819,Normal
1737203511243,2025-01-18 13:31:51,11998.48,2787.1,23.42,7763402752,2577510400,66.8,130,0,146061,Normal
1737203522871,2025-01-18 13:32:02,12008.11,2796.86,23.49,7763402752,2560581632,67.0,283,5,300315,Normal
1737203534430,2025-01-18 13:32:14,12017.25,2807.17,23.56,7763402752,2579206144,66.8,492,19,493780,Normal
1737203545976,2025-01-18 13:32:25,12025.25,2818.68,23.6,7763402752,2568155136,66.9,484,0,481078,Normal
1737203557542,2025-01-18 13:32:37,12034.98,2828.43,23.65,7763402752,2572107776,66.9,174,10,160150,Normal
1737203569084,2025-01-18 13:32:49,12043.81,2838.95,23.71,7763402752,2542190592,67.3,382,35,371947,Normal
1737203580622,2025-01-18 13:33:00,12051.39,2850.9,23.81,7763402752,2573713408,66.8,573,10,601398,Normal
1737203592223,2025-01-18 13:33:12,12057.2,2865.5,23.87,7763402752,2573090816,66.9,909,319,962820,Normal
1737203604012,2025-01-18 13:33:24,12060.29,2883.18,23.99,7763402752,2580803584,66.8,763,540,982011,Normal
1737203615617,2025-01-18 13:33:35,12062.82,2899.39,24.08,7763402752,2433069056,68.7,703,326,799471,Anomaly
1737203627234,2025-01-18 13:33:47,12064.05,2916.39,24.17,7763402752,2300960768,70.4,305,10,313252,Anomaly
1737203638904,2025-01-18 13:33:58,12068.81,2931.06,24.25,7763402752,2555736064,67.1,323,0,321965,Normal
1737203650467,2025-01-18 13:34:10,12077.97,2941.46,24.32,7763402752,2551074816,67.1,432,14,421027,Normal
1737203662055,2025-01-18 13:34:22,12087.44,2951.25,24.39,7763402752,2564730880,67.0,729,38,784531,Normal
1737203673751,2025-01-18 13:34:33,12094.48,2963.97,24.47,7763402752,2512011264,67.6,500,0,521859,Normal
1737203685277,2025-01-18 13:34:45,12102.36,2975.55,24.53,7763402752,2517061632,67.6,392,12,371664,Normal
1737203696798,2025-01-18 13:34:56,12110.92,2986.36,24.58,7763402752,2533785600,67.4,368,0,366737,Normal
1737203708393,2025-01-18 13:35:08,12119.95,2996.77,24.63,7763402752,2526277632,67.5,164,0,157444,Normal
1737203719996,2025-01-18 13:35:19,12130.66,3005.35,24.69,7763402752,2502873088,67.8,166,23,137715,Normal
1737203731579,2025-01-18 13:35:31,12140.12,3015.29,24.76,7763402752,2512244736,67.6,292,32,272044,Normal
1737203743103,2025-01-18 13:35:43,12149.29,3025.38,24.83,7763402752,2528731136,67.4,466,21,485150,Normal
1737203754624,2025-01-18 13:35:54,12157.83,3036.23,24.91,7763402752,2497236992,67.8,642,0,660527,Normal
1737203766167,2025-01-18 13:36:06,12166.82,3046.73,24.97,7763402752,2508726272,67.7,462,0,474197,Normal
1737203777705,2025-01-18 13:36:17,12174.26,3058.8,25.04,7763402752,2486747136,68.0,285,12,286265,Normal
1737203789229,2025-01-18 13:36:29,12182.59,3069.76,25.12,7763402752,2504646656,67.7,359,0,381425,Normal
1737203800861,2025-01-18 13:36:40,12190.7,3081.01,25.26,7763402752,2516987904,67.6,366,0,372600,Normal
1737203812423,2025-01-18 13:36:52,12200.92,3090.21,25.32,7763402752,2521833472,67.5,678,36,733783,Normal
1737203824116,2025-01-18 13:37:04,12208.19,3102.63,25.38,7763402752,2513047552,67.6,354,0,355462,Normal
1737203835656,2025-01-18 13:37:15,12216.91,3113.37,25.44,7763402752,2528415744,67.4,559,13,564967,Normal
1737203847189,2025-01-18 13:37:27,12224.53,3125.19,25.49,7763402752,2517782528,67.6,500,6,577587,Normal
1737203858720,2025-01-18 13:37:38,12229.98,3139.38,25.55,7763402752,2512539648,67.6,606,13,711145,Normal
1737203870483,2025-01-18 13:37:50,12232.84,3156.89,25.63,7763402752,2514608128,67.6,802,704,789461,Anomaly
1737203882113,2025-01-18 13:38:02,12237.29,3172.34,25.71,7763402752,2526695424,67.5,0,0,0,Anomaly
1737203893735,2025-01-18 13:38:13,12242.21,3186.89,25.73,7763402752,2412470272,68.9,14,10,4102,Anomaly
1737203905391,2025-01-18 13:38:25,12243.93,3204.26,25.77,7763402752,2514247680,67.6,8,4,564,Normal
1737203917089,2025-01-18 13:38:37,12254.32,3213.44,25.78,7763402752,2511740928,67.6,0,0,0,Normal
1737203928911,2025-01-18 13:38:48,12265.52,3222.02,25.81,7763402752,2519973888,67.5,75,69,22477,Normal
1737203940461,2025-01-18 13:39:00,12275.61,3231.3,25.84,7763402752,2504028160,67.7,2,0,102,Normal
1737203951991,2025-01-18 13:39:11,12286.48,3239.79,25.86,7763402752,2502164480,67.8,7,7,525,Normal
1737203963526,2025-01-18 13:39:23,12297.34,3248.11,25.88,7763402752,2490490880,67.9,1,0,60,Normal
1737203975075,2025-01-18 13:39:35,12309.24,3255.56,25.9,7763402752,2483486720,68.0,16,10,4176,Normal
1737203986605,2025-01-18 13:39:46,12319.28,3264.74,25.92,7763402752,2465161216,68.2,132,56,102778,Normal
1737203998466,2025-01-18 13:39:58,12324.49,3279.2,25.96,7763402752,2477436928,68.1,976,172,929258,Normal
1737204010076,2025-01-18 13:40:10,12325.29,3298.08,26.11,7763402752,2391789568,69.2,976,79,1057258,Normal
1737204021945,2025-01-18 13:40:21,12327.39,3315.75,26.37,7763402752,2388533248,69.2,931,351,937972,Normal
1737204033916,2025-01-18 13:40:33,12327.41,3336.72,26.49,7763402752,2438619136,68.6,1064,32,1105995,Normal
1737204045668,2025-01-18 13:40:45,12335.26,3349.4,26.58,7763402752,2484215808,68.0,639,76,630797,Normal
1737204057167,2025-01-18 13:40:57,12339.38,3364.85,26.7,7763402752,2480222208,68.1,995,489,1087071,Normal
1737204069075,2025-01-18 13:41:09,12341.63,3382.56,26.94,7763402752,2476417024,68.1,598,0,677869,Normal
1737204080800,2025-01-18 13:41:20,12344.25,3399.87,27.01,7763402752,2430029824,68.7,592,18,679180,Normal
1737204092306,2025-01-18 13:41:32,12345.87,3418.16,27.09,7763402752,2531741696,67.4,870,15,985521,Normal
